Tanggal,Prov,Provinsi,Running Sum of divaksin3 (ribu),divaksin3 (ribu)
11/17/2021,Jawa Timur,Jawa Timur,202.598,0.413
11/18/2021,Jawa Timur,Jawa Timur,203.074,0.476
11/19/2021,Jawa Timur,Jawa Timur,203.747,0.673
11/20/2021,Jawa Timur,Jawa Timur,204.309,0.562
11/21/2021,Jawa Timur,Jawa Timur,204.399,0.09
11/22/2021,Jawa Timur,Jawa Timur,204.726,0.327
11/23/2021,Jawa Timur,Jawa Timur,204.917,0.191
11/24/2021,Jawa Timur,Jawa Timur,205.205,0.288
11/25/2021,Jawa Timur,Jawa Timur,205.577,0.372
11/26/2021,Jawa Timur,Jawa Timur,206.106,0.529
11/27/2021,Jawa Timur,Jawa Timur,206.446,0.34
11/28/2021,Jawa Timur,Jawa Timur,206.504,0.058
11/29/2021,Jawa Timur,Jawa Timur,206.788,0.284
11/30/2021,Jawa Timur,Jawa Timur,207.025,0.237
12/1/2021,Jawa Timur,Jawa Timur,207.312,0.287
12/2/2021,Jawa Timur,Jawa Timur,207.598,0.286
12/3/2021,Jawa Timur,Jawa Timur,208.088,0.49
12/4/2021,Jawa Timur,Jawa Timur,208.546,0.458
12/5/2021,Jawa Timur,Jawa Timur,208.619,0.073
12/6/2021,Jawa Timur,Jawa Timur,208.878,0.259
12/7/2021,Jawa Timur,Jawa Timur,209.172,0.294
12/8/2021,Jawa Timur,Jawa Timur,209.724,0.552
12/9/2021,Jawa Timur,Jawa Timur,210.331,0.607
12/10/2021,Jawa Timur,Jawa Timur,210.86,0.529
12/11/2021,Jawa Timur,Jawa Timur,211.395,0.535
12/12/2021,Jawa Timur,Jawa Timur,211.537,0.142
12/13/2021,Jawa Timur,Jawa Timur,211.859,0.322
12/14/2021,Jawa Timur,Jawa Timur,212.236,0.377
12/15/2021,Jawa Timur,Jawa Timur,212.577,0.341
12/16/2021,Jawa Timur,Jawa Timur,212.899,0.322
12/17/2021,Jawa Timur,Jawa Timur,213.367,0.468
12/18/2021,Jawa Timur,Jawa Timur,213.796,0.429
12/19/2021,Jawa Timur,Jawa Timur,213.968,0.172
12/20/2021,Jawa Timur,Jawa Timur,214.212,0.244
12/21/2021,Jawa Timur,Jawa Timur,214.515,0.303
